Tytuł kanału,Kraj,Liczba subskrybentów,Channel_id
equinixvideos,US,13500,UC9xshmMk-FKjqKCLOKklQQw
Conor Clyne - Tsar Experience,IE,87200,UCz9WfSs2nuabYM_3LAARWHg
WKBN27,Brak danych o kraju,53500,UCTbhS5-KTEKzBh-eqeU5vAw
ROME REPORTS in English,IT,347000,UCxshhzR907v2w6DjICyAgLQ
The Travel Boss,US,6790,UCcwcop2_Jwf7gRoQAAsfJfw
Schnuffinski der Auswanderer ,PL,5790,UCmmqPP4YAfW1iuM77C1jhVA
TheUwagaPies,JP,159000,UCggEPZWEkj4MRBk1siZCXiA
IMAGO Printer - Polskie Drukarki,PL,51,UCjsd7lXc6mOPqsldLUXCeWw
The Summit for Democracy,US,1370,UCCOkgMdUDQNtbcQ0Y9o6vxw
Wojciech Lepczyński - cloud tutorials,PL,492,UCGZiVVLpIRNFbj2EtA9dhYw
WKBN27,Brak danych o kraju,53500,UCTbhS5-KTEKzBh-eqeU5vAw
Redacted,US,2200000,UCoJhK5kMc4LjBKdiYrDtzlA
RailwaylineT,LT,3460,UCgCNJCOhnsuxcnSht_yjdag
Pedro Mota,NL,85600,UCQc2abzqbqrp-TZG3K79Wng
13WMAZ,US,88900,UCRNf0_t4Qo5eojj8sSvd_8A
Kondel Walking Tours,IT,3780,UChTbfkYOzZhuoa6ALdLGHyw
League of Legends - Polska,PL,215000,UC6yuFHuoNYgYABOHYbwQk4w
Magpie Farm,GB,529,UCP3gO-g-UVEBsvtjuWOgj0w
Miss Maja,Brak danych o kraju,121,UCz7xAk9-4nkvBUpjWkUSXPA
INN:Poland,PL,2530,UCscgng3Z3lcZlnhSxThvMJQ
Tech Revolution,CO,98600,UC4RcWvSfcsm5GKYRbp8699A
Slavic Affairs,SI,160000,UCFMFqhXSkyWVkJkOfNocbSA
Shane's Eurovision Review,Brak danych o kraju,7920,UCYId303J1tm3W3FTsgfXRwA
Broken Window Theory,US,367000,UCQjlzE-BSD1PDW988vbqVjw
Defense Updates,IN,588000,UCKNCbBWiMiXBVXUmUuu_dsQ
Butterfly,PL,890,UCBpnubrX7vxtSaxdCm89e1Q
Kondel Walking Tours,IT,3780,UChTbfkYOzZhuoa6ALdLGHyw
Poland with Ela,PL,672,UCMuUcDJEiqGs9SiN7yxg9Zw
Schnuffinski der Auswanderer ,PL,5790,UCmmqPP4YAfW1iuM77C1jhVA
Euro Life BD...,PL,36700,UCqMZ1MLMYLYO-EfJZW6B9iw
Kondel Walking Tours,IT,3780,UChTbfkYOzZhuoa6ALdLGHyw
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
Lou & Sylw,Brak danych o kraju,4300,UCLdSEnzWlz26FgWfFVXPOnw
Snack Investigation Unit! ,US,29200,UC7lO2KW-PzyWvne6sRR2Upw
UnHerd,GB,375000,UCMxiv15iK_MFayY_3fU9loQ
Globe in the Hat,PL,57300,UCZkVPUf-4-HjaTdrswApBFQ
NewsNation,US,1060000,UCCjG8NtOig0USdrT5D1FpxQ
Pike Productions,US,43100,UCmeJyyFb-SQSRGSUMF-GmVA
Aria Martelle,PL,116000,UCbPbgT_iBRhtJb_hVqvguuA
APC227,DE,113000,UCWojaEI9VNQyxTCDHgwE0Qw
Hubient Talents,AU,12000,UCkYRj_18seg6zGsL90ZS1mQ
Trev in Poland,Brak danych o kraju,38800,UCpvLXwMnZUwz8uRD7muGg4g
tvnpl,PL,2400000,UCkhF9pRVYFI9aXM2in5JGmg
Knowledge Raiders,US,19400,UCKsM6jApYVFLWdUQ9kdPuTA
荷蘭女生在台灣 | Eat Live Shop Taiwan,TW,10300,UCqfNz6-QxQ2--fr9QMZxdXg
Kondel Walking Tours,IT,3780,UChTbfkYOzZhuoa6ALdLGHyw
The Front,CY,496000,UCFHhnyA9HGtBxGhtMQ_FEpQ
TEACHER PAUL REACTS,GB,310000,UCT99PQ5nkgshVaoBlU5jiKw
Sayali Rahate,PL,11500,UCuTW-VCyv4a8B8aReF2_D-A
Michał Sołtan,PL,2330,UC-qg2fTfrb8NEn1bWs_sJfQ
